frame,rep,angle,level,score
1,0,149.3854,GOOD,9
2,0,149.39378,GOOD,9
3,0,151.89343,GOOD,9
4,0,155.14857,GOOD,9
5,0,156.76202,GOOD,9
6,0,158.89859,GOOD,9
7,0,158.772,GOOD,9
8,0,161.49239,GOOD,10
9,0,165.94612,GOOD,10
10,0,167.3813,GOOD,10
11,0,168.91179,GOOD,10
12,0,167.36055,GOOD,10
13,0,163.78592,GOOD,10
14,0,160.39087,GOOD,10
15,0,159.37602,GOOD,9
16,0,156.94981,GOOD,9
17,0,152.99557,GOOD,9
18,0,148.0146,GOOD,9
19,0,145.89447,GOOD,9
20,0,145.77502,GOOD,9
21,0,140.16217,GOOD,9
22,0,138.45158,GOOD,9
23,0,135.87881,GOOD,9
24,0,132.333,GOOD,9
25,0,132.10144,GOOD,9
26,0,131.65674,GOOD,9
27,0,136.5645,GOOD,9
28,0,137.1631,GOOD,9
29,0,125.68535,GOOD,9
30,0,127.10202,GOOD,9
31,0,125.604065,GOOD,9
32,0,128.86188,GOOD,9
33,0,121.24867,GOOD,9
34,0,125.56897,GOOD,9
35,0,132.83559,GOOD,9
36,0,135.42998,GOOD,9
37,0,135.9515,GOOD,9
38,0,150.71878,GOOD,9
39,0,133.46523,GOOD,9
40,0,145.0978,GOOD,9
41,0,137.39502,GOOD,9
42,0,152.0271,GOOD,9
43,0,148.81654,GOOD,9
44,0,94.744865,GOOD,9
45,0,149.00812,GOOD,9
46,0,145.57047,GOOD,9
47,0,106.308235,GOOD,9
48,0,146.2575,GOOD,9
49,0,139.20613,GOOD,9
50,0,148.6542,GOOD,9
51,0,145.94818,GOOD,9
52,0,148.41708,GOOD,9
53,0,96.80301,GOOD,9
54,0,141.47144,GOOD,9
55,0,138.84903,GOOD,9
56,0,129.23917,GOOD,9
57,0,127.98111,GOOD,9
58,0,133.31255,GOOD,9
59,0,134.59132,GOOD,9
60,0,134.02792,GOOD,9
61,0,118.50185,GOOD,9
62,0,118.4375,GOOD,9
63,0,125.23166,GOOD,9
64,0,129.63113,GOOD,9
65,0,126.841415,GOOD,9
66,0,119.06172,GOOD,9
67,0,122.15468,GOOD,9
68,0,122.991135,GOOD,9
69,0,120.37547,GOOD,9
70,0,124.01866,GOOD,9
71,0,122.9848,GOOD,9
72,0,131.81961,GOOD,9
73,0,131.9131,GOOD,9
74,0,136.49168,GOOD,9
75,0,137.9597,GOOD,9
76,0,143.49612,GOOD,9
77,0,145.76733,GOOD,9
78,0,146.33383,GOOD,9
79,0,147.66756,GOOD,9
80,0,149.14638,GOOD,9
81,0,149.69345,GOOD,9
82,0,151.48491,GOOD,9
83,0,153.6491,GOOD,9
84,0,154.57527,GOOD,9
85,0,158.37283,GOOD,9
86,0,158.50525,GOOD,9
87,0,159.75948,GOOD,9
88,0,161.41144,GOOD,10
89,0,162.79701,GOOD,10
